fecha,categoria,region,ventas,unidades,precio_prom
2024-01-01,Abarrotes,Centro,2284.32,43,53.12
2024-01-01,Abarrotes,Oriente,1449.9,28,51.78
2024-01-01,Bebidas,Oriente,2235.55,20,111.78
2024-01-01,Bebidas,Centro,2047.9,28,73.14
2024-01-01,Lácteos,Oriente,2145.18,10,214.52
2024-01-01,Lácteos,Sur,965.05,24,40.21
2024-01-01,Hogar,Norte,1455.19,15,97.01
2024-01-01,Hogar,Occidente,2879.39,27,106.64
2024-01-01,Electrónica,Norte,1673.37,31,53.98
2024-01-01,Electrónica,Centro,1309.4,33,39.68
2024-01-02,Abarrotes,Sur,783.97,41,19.12
2024-01-02,Abarrotes,Oriente,2467.52,18,137.08
2024-01-02,Bebidas,Centro,1862.33,33,56.43
2024-01-02,Bebidas,Oriente,1240.93,40,31.02
2024-01-02,Lácteos,Sur,2443.08,31,78.81
2024-01-02,Lácteos,Norte,1930.61,26,74.25
2024-01-02,Hogar,Occidente,2276.49,30,75.88
2024-01-02,Hogar,Norte,1094.03,37,29.57
2024-01-02,Electrónica,Centro,1973.88,27,73.11
2024-01-02,Electrónica,Occidente,1062.16,22,48.28
2024-01-03,Abarrotes,Occidente,2536.6,37,68.56
2024-01-03,Abarrotes,Centro,1875.7,23,81.55
2024-01-03,Bebidas,Centro,1095.11,40,27.38
2024-01-03,Bebidas,Oriente,1893.36,25,75.73
2024-01-03,Lácteos,Occidente,773.35,40,19.33
2024-01-03,Lácteos,Norte,1439.74,37,38.91
2024-01-03,Hogar,Centro,1909.68,20,95.48
2024-01-03,Hogar,Occidente,2090.29,28,74.65
2024-01-03,Electrónica,Sur,1530.77,34,45.02
2024-01-03,Electrónica,Centro,2523.62,52,48.53
2024-01-04,Abarrotes,Sur,2973.75,38,78.26
2024-01-04,Abarrotes,Centro,2175.84,38,57.26
2024-01-04,Bebidas,Occidente,1682.14,35,48.06
2024-01-04,Bebidas,Sur,2058.25,39,52.78
2024-01-04,Lácteos,Oriente,1845.09,34,54.27
2024-01-04,Lácteos,Occidente,1190.37,19,62.65
2024-01-04,Hogar,Oriente,1342.24,39,34.42
2024-01-04,Hogar,Occidente,1600.36,24,66.68
2024-01-04,Electrónica,Sur,1988.87,13,152.99
2024-01-04,Electrónica,Centro,1356.48,20,67.82
2024-01-05,Abarrotes,Occidente,1604.49,30,53.48
2024-01-05,Abarrotes,Centro,2286.65,27,84.69
2024-01-05,Bebidas,Oriente,2203.89,29,76.0
2024-01-05,Bebidas,Norte,2460.38,18,136.69
2024-01-05,Lácteos,Centro,1518.9,43,35.32
2024-01-05,Lácteos,Norte,2843.12,43,66.12
2024-01-05,Hogar,Centro,1405.68,24,58.57
2024-01-05,Hogar,Occidente,2059.79,24,85.82
2024-01-05,Electrónica,Norte,1069.6,30,35.65
2024-01-05,Electrónica,Centro,1362.62,34,40.08
2024-01-06,Abarrotes,Oriente,2289.19,39,58.7
2024-01-06,Abarrotes,Centro,1497.45,36,41.6
2024-01-06,Bebidas,Norte,973.68,31,31.41
2024-01-06,Bebidas,Oriente,2600.29,31,83.88
2024-01-06,Lácteos,Centro,2313.16,32,72.29
2024-01-06,Lácteos,Occidente,2150.3,33,65.16
2024-01-06,Hogar,Oriente,2391.83,41,58.34
2024-01-06,Hogar,Centro,890.12,41,21.71
2024-01-06,Electrónica,Centro,1408.77,19,74.15
2024-01-06,Electrónica,Occidente,272.33,21,12.97
2024-01-07,Abarrotes,Sur,1549.29,18,86.07
2024-01-07,Abarrotes,Centro,2461.99,42,58.62
2024-01-07,Bebidas,Oriente,1852.77,22,84.22
2024-01-07,Bebidas,Centro,1466.29,21,69.82
2024-01-07,Lácteos,Norte,2725.63,35,77.88
2024-01-07,Lácteos,Occidente,3640.65,30,121.36
2024-01-07,Hogar,Sur,1357.46,34,39.93
2024-01-07,Hogar,Centro,1865.92,37,50.43
2024-01-07,Electrónica,Centro,3271.33,45,72.7
2024-01-07,Electrónica,Sur,1430.29,24,59.6
2024-01-08,Abarrotes,Oriente,1195.16,13,91.94
2024-01-08,Abarrotes,Centro,1311.37,43,30.5
2024-01-08,Bebidas,Norte,2523.47,40,63.09
2024-01-08,Bebidas,Oriente,1424.6,43,33.13
2024-01-08,Lácteos,Norte,2182.67,32,68.21
2024-01-08,Lácteos,Occidente,2014.36,38,53.01
2024-01-08,Hogar,Sur,2798.53,39,71.76
2024-01-08,Hogar,Centro,2139.38,31,69.01
2024-01-08,Electrónica,Norte,1708.78,30,56.96
2024-01-08,Electrónica,Sur,3388.8,11,308.07
2024-01-09,Abarrotes,Norte,1716.84,40,42.92
2024-01-09,Abarrotes,Sur,2038.57,19,107.29
2024-01-09,Bebidas,Centro,3433.42,48,71.53
2024-01-09,Bebidas,Sur,2818.06,38,74.16
2024-01-09,Lácteos,Norte,1935.68,25,77.43
2024-01-09,Lácteos,Sur,2955.79,25,118.23
2024-01-09,Hogar,Sur,1918.57,22,87.21
2024-01-09,Hogar,Occidente,1778.93,31,57.38
2024-01-09,Electrónica,Occidente,1808.39,27,66.98
2024-01-09,Electrónica,Oriente,2162.64,52,41.59
2024-01-10,Abarrotes,Occidente,2051.94,24,85.5
2024-01-10,Abarrotes,Sur,1592.0,27,58.96
2024-01-10,Bebidas,Oriente,1857.56,48,38.7
2024-01-10,Bebidas,Sur,1988.33,20,99.42
2024-01-10,Lácteos,Oriente,1747.97,31,56.39
2024-01-10,Lácteos,Sur,2001.09,37,54.08
2024-01-10,Hogar,Occidente,2041.88,26,78.53
2024-01-10,Hogar,Centro,2068.11,36,57.45
2024-01-10,Electrónica,Oriente,2288.73,34,67.32
2024-01-10,Electrónica,Occidente,2682.21,34,78.89
2024-01-11,Abarrotes,Oriente,1672.98,17,98.41
2024-01-11,Abarrotes,Occidente,2066.18,25,82.65
2024-01-11,Bebidas,Sur,1325.03,42,31.55
2024-01-11,Bebidas,Occidente,1982.95,12,165.25
2024-01-11,Lácteos,Sur,2269.19,29,78.25
2024-01-11,Lácteos,Occidente,669.94,43,15.58
2024-01-11,Hogar,Occidente,1779.34,24,74.14
2024-01-11,Hogar,Centro,2626.21,32,82.07
2024-01-11,Electrónica,Centro,2495.25,38,65.66
2024-01-11,Electrónica,Sur,2783.29,30,92.78
2024-01-12,Abarrotes,Centro,1753.23,39,44.95
2024-01-12,Abarrotes,Norte,2062.14,32,64.44
2024-01-12,Bebidas,Oriente,2674.13,51,52.43
2024-01-12,Bebidas,Norte,1794.45,32,56.08
2024-01-12,Lácteos,Sur,2194.71,46,47.71
